DATE,UNRATE,UNRATE_CHG,UNRATE_CH1,UNRATE_PCH,UNRATE_PC1,UNRATE_CCH,UNRATE_NBD19480101
1948-01-01,3.4,.,.,.,.,.,100.00000
1948-02-01,3.8,0.4,.,11.76471,.,11.12256,111.76471
1948-03-01,4.0,0.2,.,5.26316,.,5.12933,117.64706
1948-04-01,3.9,-0.1,.,-2.50000,.,-2.53178,114.70588
1948-05-01,3.5,-0.4,.,-10.25641,.,-10.82136,102.94118
1948-06-01,3.6,0.1,.,2.85714,.,2.81709,105.88235
1948-07-01,3.6,0.0,.,0.00000,.,0.00000,105.88235
1948-08-01,3.9,0.3,.,8.33333,.,8.00427,114.70588
1948-09-01,3.8,-0.1,.,-2.56410,.,-2.59755,111.76471
1948-10-01,3.7,-0.1,.,-2.63158,.,-2.66682,108.82353
1948-11-01,3.8,0.1,.,2.70270,.,2.66682,111.76471
1948-12-01,4.0,0.2,.,5.26316,.,5.12933,117.64706
1949-01-01,4.3,0.3,0.9,7.50000,26.47059,7.23207,126.47059
1949-02-01,4.7,0.4,0.9,9.30233,23.68421,8.89475,138.23529
1949-03-01,5.0,0.3,1.0,6.38298,25.00000,6.18754,147.05882
1949-04-01,5.3,0.3,1.4,6.00000,35.89744,5.82689,155.88235
1949-05-01,6.1,0.8,2.6,15.09434,74.28571,14.05820,179.41176
1949-06-01,6.2,0.1,2.6,1.63934,72.22222,1.62605,182.35294
1949-07-01,6.7,0.5,3.1,8.06452,86.11111,7.75582,197.05882
1949-08-01,6.8,0.1,2.9,1.49254,74.35897,1.48151,200.00000
1949-09-01,6.6,-0.2,2.8,-2.94118,73.68421,-2.98530,194.11765
1949-10-01,7.9,1.3,4.2,19.69697,113.51351,17.97931,232.35294
1949-11-01,6.4,-1.5,2.6,-18.98734,68.42105,-21.05648,188.23529
1949-12-01,6.6,0.2,2.6,3.12500,65.00000,3.07717,194.11765
1950-01-01,6.5,-0.1,2.2,-1.51515,51.16279,-1.52675,191.17647
1950-02-01,6.4,-0.1,1.7,-1.53846,36.17021,-1.55042,188.23529
1950-03-01,6.3,-0.1,1.3,-1.56250,26.00000,-1.57484,185.29412
1950-04-01,5.8,-0.5,0.5,-7.93651,9.43396,-8.26917,170.58824
1950-05-01,5.5,-0.3,-0.6,-5.17241,-9.83607,-5.31098,161.76471
1950-06-01,5.4,-0.1,-0.8,-1.81818,-12.90323,-1.83491,158.82353
1950-07-01,5.0,-0.4,-1.7,-7.40741,-25.37313,-7.69610,147.05882
1950-08-01,4.5,-0.5,-2.3,-10.00000,-33.82353,-10.53605,132.35294
1950-09-01,4.4,-0.1,-2.2,-2.22222,-33.33333,-2.24729,129.41176
1950-10-01,4.2,-0.2,-3.7,-4.54545,-46.83544,-4.65200,123.52941
1950-11-01,4.2,0.0,-2.2,0.00000,-34.37500,0.00000,123.52941
1950-12-01,4.3,0.1,-2.3,2.38095,-34.84848,2.35305,126.47059
1951-01-01,3.7,-0.6,-2.8,-13.95349,-43.07692,-15.02822,108.82353
1951-02-01,3.4,-0.3,-3.0,-8.10811,-46.87500,-8.45574,100.00000
1951-03-01,3.4,0.0,-2.9,0.00000,-46.03175,0.00000,100.00000
1951-04-01,3.1,-0.3,-2.7,-8.82353,-46.55172,-9.23733,91.17647
1951-05-01,3.0,-0.1,-2.5,-3.22581,-45.45455,-3.27898,88.23529
1951-06-01,3.2,0.2,-2.2,6.66667,-40.74074,6.45385,94.11765
1951-07-01,3.1,-0.1,-1.9,-3.12500,-38.00000,-3.17487,91.17647
1951-08-01,3.1,0.0,-1.4,0.00000,-31.11111,0.00000,91.17647
1951-09-01,3.3,0.2,-1.1,6.45161,-25.00000,6.25204,97.05882
1951-10-01,3.5,0.2,-0.7,6.06061,-16.66667,5.88405,102.94118
1951-11-01,3.5,0.0,-0.7,0.00000,-16.66667,0.00000,102.94118
1951-12-01,3.1,-0.4,-1.2,-11.42857,-27.90698,-12.13609,91.17647
1952-01-01,3.2,0.1,-0.5,3.22581,-13.51351,3.17487,94.11765
1952-02-01,3.1,-0.1,-0.3,-3.12500,-8.82353,-3.17487,91.17647
1952-03-01,2.9,-0.2,-0.5,-6.45161,-14.70588,-6.66914,85.29412
1952-04-01,2.9,0.0,-0.2,0.00000,-6.45161,0.00000,85.29412
1952-05-01,3.0,0.1,0.0,3.44828,0.00000,3.39016,88.23529
1952-06-01,3.0,0.0,-0.2,0.00000,-6.25000,0.00000,88.23529
1952-07-01,3.2,0.2,0.1,6.66667,3.22581,6.45385,94.11765
1952-08-01,3.4,0.2,0.3,6.25000,9.67742,6.06246,100.00000
1952-09-01,3.1,-0.3,-0.2,-8.82353,-6.06061,-9.23733,91.17647
1952-10-01,3.0,-0.1,-0.5,-3.22581,-14.28571,-3.27898,88.23529
1952-11-01,2.8,-0.2,-0.7,-6.66667,-20.00000,-6.89929,82.35294
1952-12-01,2.7,-0.1,-0.4,-3.57143,-12.90323,-3.63676,79.41176
1953-01-01,2.9,0.2,-0.3,7.40741,-9.37500,7.14590,85.29412
1953-02-01,2.6,-0.3,-0.5,-10.34483,-16.12903,-10.91993,76.47059
1953-03-01,2.6,0.0,-0.3,0.00000,-10.34483,0.00000,76.47059
1953-04-01,2.7,0.1,-0.2,3.84615,-6.89655,3.77403,79.41176
1953-05-01,2.5,-0.2,-0.5,-7.40741,-16.66667,-7.69610,73.52941
1953-06-01,2.5,0.0,-0.5,0.00000,-16.66667,0.00000,73.52941
1953-07-01,2.6,0.1,-0.6,4.00000,-18.75000,3.92207,76.47059
1953-08-01,2.7,0.1,-0.7,3.84615,-20.58824,3.77403,79.41176
1953-09-01,2.9,0.2,-0.2,7.40741,-6.45161,7.14590,85.29412
1953-10-01,3.1,0.2,0.1,6.89655,3.33333,6.66914,91.17647
1953-11-01,3.5,0.4,0.7,12.90323,25.00000,12.13609,102.94118
1953-12-01,4.5,1.0,1.8,28.57143,66.66667,25.13144,132.35294
1954-01-01,4.9,0.4,2.0,8.88889,68.96552,8.51578,144.11765
1954-02-01,5.2,0.3,2.6,6.12245,100.00000,5.94234,152.94118
1954-03-01,5.7,0.5,3.1,9.61538,119.23077,9.18075,167.64706
1954-04-01,5.9,0.2,3.2,3.50877,118.51852,3.44862,173.52941
1954-05-01,5.9,0.0,3.4,0.00000,136.00000,0.00000,173.52941
1954-06-01,5.6,-0.3,3.1,-5.08475,124.00000,-5.21858,164.70588
1954-07-01,5.8,0.2,3.2,3.57143,123.07692,3.50913,170.58824
1954-08-01,6.0,0.2,3.3,3.44828,122.22222,3.39016,176.47059
1954-09-01,6.1,0.1,3.2,1.66667,110.34483,1.65293,179.41176
1954-10-01,5.7,-0.4,2.6,-6.55738,83.87097,-6.78226,167.64706
1954-11-01,5.3,-0.4,1.8,-7.01754,51.42857,-7.27594,155.88235
1954-12-01,5.0,-0.3,0.5,-5.66038,11.11111,-5.82689,147.05882
1955-01-01,4.9,-0.1,0.0,-2.00000,0.00000,-2.02027,144.11765
1955-02-01,4.7,-0.2,-0.5,-4.08163,-9.61538,-4.16727,138.23529
1955-03-01,4.6,-0.1,-1.1,-2.12766,-19.29825,-2.15062,135.29412
1955-04-01,4.7,0.1,-1.2,2.17391,-20.33898,2.15062,138.23529
1955-05-01,4.3,-0.4,-1.6,-8.51064,-27.11864,-8.89475,126.47059
1955-06-01,4.2,-0.1,-1.4,-2.32558,-25.00000,-2.35305,123.52941
1955-07-01,4.0,-0.2,-1.8,-4.76190,-31.03448,-4.87902,117.64706
1955-08-01,4.2,0.2,-1.8,5.00000,-30.00000,4.87902,123.52941
