date,party,lugar_score
2003-01-01,Democrat,0.1727985919976034
2003-01-01,Republican,0.41935483870967744
2003-01-01,Average,0.29607671535364044
2004-01-01,Democrat,0.22879722436391672
2004-01-01,Republican,0.45744729922966926
2004-01-01,Average,0.343122261796793
2005-01-01,Democrat,0.14797502099842968
2005-01-01,Republican,0.4140809795464032
2005-01-01,Average,0.2810280002724165
2006-01-01,Democrat,0.2104815864022663
2006-01-01,Republican,0.5081873699751694
2006-01-01,Average,0.3593344781887179
2007-01-01,Democrat,0.22807099181937476
2007-01-01,Republican,0.33111408091361927
2007-01-01,Average,0.279592536366497
2008-01-01,Democrat,0.27173654969371763
2008-01-01,Republican,0.39511132623426914
2008-01-01,Average,0.3334239379639934
2009-01-01,Democrat,0.2076190676142388
2009-01-01,Republican,0.2761036214644462
2009-01-01,Average,0.2418613445393425
2010-01-01,Democrat,0.3486587340702668
2010-01-01,Republican,0.3277654678711437
2010-01-01,Average,0.33821210097070525
2011-01-01,Democrat,0.21592299535035483
2011-01-01,Republican,0.2596074550552532
2011-01-01,Average,0.23776522520280402
2012-01-01,Democrat,0.350934241767317
2012-01-01,Republican,0.3741993217784476
2012-01-01,Average,0.3625667817728823
2013-01-01,Democrat,0.16809555356377381
2013-01-01,Republican,0.3148732203631439
2013-01-01,Average,0.24148438696345886
2014-01-01,Democrat,0.26861267477755585
2014-01-01,Republican,0.39653441578281173
2014-01-01,Average,0.3325735452801838
2015-01-01,Democrat,0.14036671887957247
2015-01-01,Republican,0.31820578928864407
2015-01-01,Average,0.22928625408410827
2016-01-01,Democrat,0.25775984391628237
2016-01-01,Republican,0.38676279498679633
2016-01-01,Average,0.32226131945153935
2017-01-01,Democrat,0.13624622321023216
2017-01-01,Republican,0.36644494874403316
2017-01-01,Average,0.25134558597713264
2018-01-01,Democrat,0.2577479840668415
2018-01-01,Republican,0.5637421437064719
2018-01-01,Average,0.4107450638866567
2019-01-01,Democrat,0.19786819786819787
2019-01-01,Republican,0.4172049253695237
2019-01-01,Average,0.3075365616188608
2020-01-01,Democrat,0.2935340534742971
2020-01-01,Republican,0.4976412565669561
2020-01-01,Average,0.39558765502062665
