,date,vote_metric
0,2000-10-01,
1,2000-11-01,
2,2000-12-01,
3,2001-01-01,
4,2001-02-01,
5,2001-03-01,
6,2001-04-01,
7,2001-05-01,
8,2001-06-01,
9,2001-07-01,
10,2001-08-01,
11,2001-09-01,
12,2001-10-01,
13,2001-11-01,
14,2001-12-01,
15,2002-01-01,
16,2002-02-01,
17,2002-03-01,
18,2002-04-01,
19,2002-05-01,
20,2002-06-01,
21,2002-07-01,
22,2002-08-01,
23,2002-09-01,
24,2002-10-01,
25,2002-11-01,
26,2002-12-01,
27,2003-01-01,
28,2003-02-01,0.96
29,2003-03-01,
30,2003-04-01,
31,2003-05-01,
32,2003-06-01,
33,2003-07-01,
34,2003-08-01,
35,2003-09-01,
36,2003-10-01,
37,2003-11-01,
38,2003-12-01,
39,2004-01-01,
40,2004-02-01,
41,2004-03-01,1.0
42,2004-04-01,0.9787234042553191
43,2004-05-01,
44,2004-06-01,
45,2004-07-01,
46,2004-08-01,
47,2004-09-01,1.0
48,2004-10-01,
49,2004-11-01,
50,2004-12-01,
51,2005-01-01,
52,2005-02-01,
53,2005-03-01,
54,2005-04-01,
55,2005-05-01,1.0
56,2005-06-01,
57,2005-07-01,
58,2005-08-01,
59,2005-09-01,
60,2005-10-01,
61,2005-11-01,
62,2005-12-01,
63,2006-01-01,
64,2006-02-01,
65,2006-03-01,
66,2006-04-01,
67,2006-05-01,
68,2006-06-01,
69,2006-07-01,
70,2006-08-01,
71,2006-09-01,
72,2006-10-01,
73,2006-11-01,0.9285714285714286
74,2006-12-01,
75,2007-01-01,0.9809523809523809
76,2007-02-01,
77,2007-03-01,1.0
78,2007-04-01,
79,2007-05-01,
80,2007-06-01,
81,2007-07-01,0.9906542056074766
82,2007-08-01,
83,2007-09-01,
84,2007-10-01,1.0
85,2007-11-01,
86,2007-12-01,
87,2008-01-01,
88,2008-02-01,
89,2008-03-01,
90,2008-04-01,
91,2008-05-01,
92,2008-06-01,
93,2008-07-01,1.0
94,2008-08-01,
95,2008-09-01,0.9914529914529915
96,2008-10-01,
97,2008-11-01,
98,2008-12-01,
99,2009-01-01,
100,2009-02-01,
101,2009-03-01,
102,2009-04-01,
103,2009-05-01,
104,2009-06-01,
105,2009-07-01,
106,2009-08-01,
107,2009-09-01,
108,2009-10-01,
109,2009-11-01,
110,2009-12-01,
111,2010-01-01,
112,2010-02-01,
113,2010-03-01,
114,2010-04-01,
115,2010-05-01,
116,2010-06-01,
117,2010-07-01,
118,2010-08-01,
119,2010-09-01,
120,2010-10-01,
121,2010-11-01,
122,2010-12-01,
123,2011-01-01,
124,2011-02-01,
125,2011-03-01,
126,2011-04-01,
127,2011-05-01,
128,2011-06-01,
129,2011-07-01,
130,2011-08-01,
131,2011-09-01,
132,2011-10-01,
133,2011-11-01,
134,2011-12-01,
135,2012-01-01,
136,2012-02-01,
137,2012-03-01,
138,2012-04-01,
139,2012-05-01,
140,2012-06-01,
141,2012-07-01,
142,2012-08-01,
143,2012-09-01,
144,2012-10-01,
145,2012-11-01,
146,2012-12-01,
147,2013-01-01,
148,2013-02-01,
149,2013-03-01,
150,2013-04-01,
151,2013-05-01,
152,2013-06-01,
153,2013-07-01,
154,2013-08-01,
155,2013-09-01,
156,2013-10-01,
157,2013-11-01,
158,2013-12-01,
159,2014-01-01,
160,2014-02-01,
161,2014-03-01,
162,2014-04-01,
163,2014-05-01,
164,2014-06-01,
165,2014-07-01,
166,2014-08-01,
167,2014-09-01,
168,2014-10-01,
169,2014-11-01,
170,2014-12-01,
171,2015-01-01,
172,2015-02-01,
173,2015-03-01,
174,2015-04-01,
175,2015-05-01,
176,2015-06-01,
177,2015-07-01,
178,2015-08-01,
179,2015-09-01,
180,2015-10-01,
181,2015-11-01,
182,2015-12-01,
183,2016-01-01,
184,2016-02-01,
185,2016-03-01,
186,2016-04-01,
187,2016-05-01,
188,2016-06-01,
189,2016-07-01,
190,2016-08-01,
191,2016-09-01,
192,2016-10-01,
193,2016-11-01,
194,2016-12-01,
195,2017-01-01,
196,2017-02-01,
197,2017-03-01,
198,2017-04-01,
199,2017-05-01,
200,2017-06-01,
201,2017-07-01,
202,2017-08-01,
203,2017-09-01,
204,2017-10-01,
205,2017-11-01,
206,2017-12-01,
207,2018-01-01,
208,2018-02-01,
209,2018-03-01,
210,2018-04-01,
211,2018-05-01,
212,2018-06-01,
213,2018-07-01,
214,2018-08-01,
215,2018-09-01,
216,2018-10-01,
217,2018-11-01,
218,2018-12-01,
219,2019-01-01,
220,2019-02-01,
221,2019-03-01,
222,2019-04-01,
223,2019-05-01,
224,2019-06-01,
225,2019-07-01,
226,2019-08-01,
227,2019-09-01,
228,2019-10-01,
229,2019-11-01,
230,2019-12-01,
231,2020-01-01,
232,2020-02-01,
233,2020-03-01,
234,2020-04-01,
235,2020-05-01,
236,2020-06-01,
237,2020-07-01,
238,2020-08-01,
239,2020-09-01,
240,2020-10-01,
241,2020-11-01,
242,2020-12-01,
243,2021-01-01,
244,2021-02-01,
245,2021-03-01,
