,date,party,lugar
0,2013-01-01,Democrat,0.05309734513274336
1,2013-01-01,Republican,0.11065573770491803
2,2013-02-01,Democrat,0.15503875968992248
3,2013-02-01,Independent,0.96875
4,2013-02-01,Republican,0.3180722891566265
5,2013-03-01,Democrat,0.21890547263681592
6,2013-03-01,Independent,0.0
7,2013-03-01,Republican,0.2982456140350877
8,2013-04-01,Democrat,0.18251928020565553
9,2013-04-01,Republican,0.3080168776371308
10,2013-05-01,Democrat,0.21052631578947367
11,2013-05-01,Independent,0.9047619047619048
12,2013-05-01,Republican,0.17973856209150327
13,2013-06-01,Democrat,0.4225352112676056
14,2013-06-01,Republican,0.2802303262955854
15,2013-07-01,Democrat,0.43661971830985913
16,2013-07-01,Republican,0.20080862533692723
17,2013-08-01,Democrat,0.38461538461538464
18,2013-08-01,Republican,0.4406779661016949
19,2013-09-01,Democrat,0.35714285714285715
20,2013-09-01,Independent,0.5
21,2013-09-01,Republican,0.13934426229508196
22,2013-10-01,Democrat,0.20948616600790515
23,2013-10-01,Independent,0.25
24,2013-10-01,Republican,0.14919852034525277
25,2013-11-01,Democrat,0.3333333333333333
26,2013-11-01,Republican,0.19817073170731708
27,2013-12-01,Democrat,0.3942307692307692
28,2013-12-01,Independent,0.0
29,2013-12-01,Republican,0.1967654986522911
30,2014-01-01,Democrat,0.3076923076923077
31,2014-01-01,Independent,0.9
32,2014-01-01,Republican,0.1417910447761194
33,2014-02-01,Democrat,0.19230769230769232
34,2014-02-01,Independent,0.9666666666666667
35,2014-02-01,Republican,0.03508771929824561
36,2014-03-01,Democrat,0.2248062015503876
37,2014-03-01,Republican,0.14285714285714285
38,2014-04-01,Democrat,0.184
39,2014-04-01,Republican,0.19714964370546317
40,2014-05-01,Democrat,0.27586206896551724
41,2014-05-01,Republican,0.4166666666666667
42,2014-06-01,Democrat,0.2517985611510791
43,2014-06-01,Republican,0.4673913043478261
44,2014-07-01,Democrat,0.13537117903930132
45,2014-07-01,Republican,0.17088607594936708
46,2014-08-01,Republican,0.13333333333333333
47,2014-09-01,Democrat,0.12244897959183673
48,2014-09-01,Republican,0.48
49,2014-11-01,Democrat,0.2
50,2014-11-01,Republican,0.25
51,2014-12-01,Democrat,0.8333333333333334
52,2014-12-01,Republican,0.5172413793103449
