,date,party,lugar
0,2013-01-01,Democrat,0.13656387665198239
1,2013-01-01,Republican,0.48695652173913045
2,2013-02-01,Democrat,0.17326057298772168
3,2013-02-01,Republican,0.5988023952095808
4,2013-03-01,Democrat,0.1392857142857143
5,2013-03-01,Republican,0.23113207547169812
6,2013-04-01,Democrat,0.20390070921985815
7,2013-04-01,Independent,0.75
8,2013-04-01,Republican,0.875
9,2013-05-01,Democrat,0.17365269461077845
10,2013-05-01,Republican,0.24324324324324326
11,2013-06-01,Democrat,0.2066115702479339
12,2013-06-01,Republican,0.2873303167420814
13,2013-07-01,Democrat,0.1421188630490956
14,2013-07-01,Republican,0.6770833333333334
15,2013-08-01,Democrat,0.05063291139240506
16,2013-08-01,Republican,0.05555555555555555
17,2013-09-01,Democrat,0.2882882882882883
18,2013-09-01,Independent,0.5
19,2013-09-01,Republican,0.4444444444444444
20,2013-10-01,Democrat,0.18453865336658354
21,2013-10-01,Republican,0.3181818181818182
22,2013-11-01,Democrat,0.24050632911392406
23,2013-11-01,Republican,0.652014652014652
24,2013-12-01,Democrat,0.09523809523809523
25,2013-12-01,Republican,0.3333333333333333
26,2014-01-01,Democrat,0.3068181818181818
27,2014-01-01,Republican,0.6157894736842106
28,2014-02-01,Democrat,0.15789473684210525
29,2014-02-01,Republican,0.30113636363636365
30,2014-03-01,Democrat,0.11442786069651742
31,2014-03-01,Republican,0.5625
32,2014-04-01,Democrat,0.32857142857142857
33,2014-04-01,Republican,0.23529411764705882
34,2014-05-01,Democrat,0.1848341232227488
35,2014-05-01,Independent,0.9
36,2014-05-01,Republican,0.20689655172413793
37,2014-06-01,Democrat,0.17886178861788618
38,2014-06-01,Republican,0.5508474576271186
39,2014-07-01,Democrat,0.12455516014234876
40,2014-07-01,Republican,0.4827586206896552
41,2014-08-01,Republican,0.5568181818181818
42,2014-09-01,Democrat,0.26573426573426573
43,2014-09-01,Independent,0.5
44,2014-09-01,Republican,0.3246753246753247
45,2014-11-01,Democrat,0.46875
46,2014-11-01,Republican,0.8028169014084507
47,2014-12-01,Democrat,0.3181818181818182
48,2014-12-01,Republican,0.6923076923076923
49,2015-01-01,Republican,1.0
