,date,vote_metric
0,2013-01-01,
1,2013-02-01,
2,2013-03-01,
3,2013-04-01,1.0
4,2013-05-01,1.0
5,2013-06-01,1.0
6,2013-07-01,
7,2013-08-01,0.9523809523809523
8,2013-09-01,
9,2013-10-01,
10,2013-11-01,
11,2013-12-01,
12,2014-01-01,
13,2014-02-01,0.9857142857142858
14,2014-03-01,0.9861111111111112
15,2014-04-01,0.9777777777777777
16,2014-05-01,0.9886363636363636
17,2014-06-01,0.9805825242718447
18,2014-07-01,0.967741935483871
19,2014-08-01,
20,2014-09-01,
21,2014-10-01,
22,2014-11-01,
23,2014-12-01,0.9743589743589743
24,2015-01-01,
25,2015-02-01,
26,2015-03-01,
27,2015-04-01,
28,2015-05-01,
29,2015-06-01,
30,2015-07-01,
31,2015-08-01,
32,2015-09-01,
33,2015-10-01,
34,2015-11-01,
35,2015-12-01,
36,2016-01-01,
37,2016-02-01,
38,2016-03-01,
39,2016-04-01,
40,2016-05-01,
41,2016-06-01,
42,2016-07-01,
43,2016-08-01,
44,2016-09-01,
