,date,party,lugar
0,2013-01-01,Democrat,0.06622516556291391
1,2013-01-01,Republican,0.41284403669724773
2,2013-02-01,Democrat,0.19387755102040816
3,2013-02-01,Republican,0.27586206896551724
4,2013-03-01,Democrat,0.21686746987951808
5,2013-03-01,Republican,0.457286432160804
6,2013-04-01,Democrat,0.3885480572597137
7,2013-04-01,Republican,0.5190114068441065
8,2013-05-01,Democrat,0.21287128712871287
9,2013-05-01,Republican,0.3177570093457944
10,2013-06-01,Democrat,0.24277456647398843
11,2013-06-01,Republican,0.23711340206185566
12,2013-07-01,Democrat,0.16326530612244897
13,2013-07-01,Republican,0.47191011235955055
14,2013-08-01,Democrat,0.08823529411764706
15,2013-08-01,Republican,0.20093457943925233
16,2013-09-01,Democrat,0.0847457627118644
17,2013-09-01,Republican,0.4411764705882353
18,2013-10-01,Democrat,0.3629032258064516
19,2013-10-01,Republican,0.46511627906976744
20,2013-11-01,Democrat,0.20666666666666667
21,2013-11-01,Republican,0.4983164983164983
22,2013-12-01,Democrat,0.2558139534883721
23,2013-12-01,Republican,0.45121951219512196
24,2014-01-01,Democrat,0.14814814814814814
25,2014-01-01,Republican,0.2608695652173913
26,2014-02-01,Democrat,0.15384615384615385
27,2014-02-01,Republican,0.2714285714285714
28,2014-03-01,Democrat,0.18181818181818182
29,2014-03-01,Republican,0.29375
30,2014-04-01,Democrat,0.14814814814814814
31,2014-04-01,Republican,0.4375
32,2014-05-01,Democrat,0.23529411764705882
33,2014-05-01,Republican,0.31092436974789917
34,2014-06-01,Democrat,0.2930232558139535
35,2014-06-01,Republican,0.30434782608695654
36,2014-07-01,Democrat,0.4578313253012048
37,2014-07-01,Republican,0.4725274725274725
38,2014-09-01,Democrat,0.12903225806451613
39,2014-09-01,Republican,0.3770491803278688
40,2014-11-01,Democrat,0.36363636363636365
41,2014-12-01,Democrat,0.15625
42,2014-12-01,Republican,0.5
43,2015-01-01,Democrat,0.0
44,2015-01-01,Republican,1.0
