,date,vote_metric
0,2013-01-01,
1,2013-02-01,0.8387096774193549
2,2013-03-01,0.48314606741573035
3,2013-04-01,0.8958333333333334
4,2013-05-01,1.0
5,2013-06-01,0.8680555555555556
6,2013-07-01,0.968503937007874
7,2013-08-01,
8,2013-09-01,0.9841269841269841
9,2013-10-01,
10,2013-11-01,0.9803921568627451
11,2013-12-01,0.9705882352941176
12,2014-01-01,1.0
13,2014-02-01,
14,2014-03-01,1.0
15,2014-04-01,0.9777777777777777
16,2014-05-01,0.9772727272727273
17,2014-06-01,0.8737864077669902
18,2014-07-01,0.7741935483870968
19,2014-08-01,
20,2014-09-01,
21,2014-10-01,
22,2014-11-01,1.0
23,2014-12-01,0.9230769230769231
24,2015-01-01,
25,2015-02-01,
26,2015-03-01,
27,2015-04-01,
28,2015-05-01,
29,2015-06-01,
30,2015-07-01,
31,2015-08-01,
32,2015-09-01,
33,2015-10-01,
34,2015-11-01,
35,2015-12-01,
36,2016-01-01,
37,2016-02-01,
38,2016-03-01,
39,2016-04-01,
40,2016-05-01,
41,2016-06-01,
42,2016-07-01,
43,2016-08-01,
44,2016-09-01,
